All	HP:0000001
Absent sperm in semen	HP:0000027
Cryptorchidism	HP:0000028
Undescended testes	HP:0000028
Cryptorchism	HP:0000028
Undescended testis	HP:0000028
Testicular atrophy	HP:0000029
Testicular degeneration	HP:0000029
Testicular gonadoblastoma	HP:0000030
Gonadoblastoma, male	HP:0000030
Epididymitis	HP:0000031
Abnormality of male external genitalia	HP:0000032
Ambiguous genitalia, male	HP:0000033
Ambiguous genitalia in males	HP:0000033
Hydrocele testis	HP:0000034
Hydrocele	HP:0000034
Testicular hydrocele	HP:0000034
Abnormal testis morphology	HP:0000035
Anomaly of the testes	HP:0000035
Abnormality of the testis	HP:0000035
Abnormal penis morphology	HP:0000036
Abnormality of the penis	HP:0000036
Male pseudohermaphroditism	HP:0000037
Epispadias	HP:0000039
Long penis	HP:0000040
Enlarged penis	HP:0000040
Long penis	HP:0000040
Chordee	HP:0000041
Absent external genitalia	HP:0000042
Absent external genitalia	HP:0000042
Hypogonadotropic hypogonadism	HP:0000044
Hypogonadotrophic hypogonadism	HP:0000044
Isolated hypogonadotropic hypogonadism	HP:0000044
Low gonadotropins (secondary hypogonadism)	HP:0000044
Abnormality of the scrotum	HP:0000045
Scrotal hypoplasia	HP:0000046
Hypoplastic scrotum	HP:0000046
Smaller than typical growth of scrotum	HP:0000046
Hypospadias	HP:0000047
Hypospadia	HP:0000047
Bifid scrotum	HP:0000048
Cleft of scrotum	HP:0000048
Scrotal cleft	HP:0000048
Shawl scrotum	HP:0000049
Overriding scrotum	HP:0000049
Scrotum surrounds penis	HP:0000049
Hypoplastic male external genitalia	HP:0000050
Small male external genitalia	HP:0000050
Hypoplastic male genitalia	HP:0000050
Underdeveloped male genitalia	HP:0000050
Perineal hypospadias	HP:0000051
Urethral atresia, male	HP:0000052
Macroorchidism	HP:0000053
Large testis	HP:0000053
Large testicles	HP:0000053
Micropenis	HP:0000054
Small penis	HP:0000054
Short penis	HP:0000054
Abnormality of female external genitalia	HP:0000055
Abnormal female external genitalia	HP:0000055
Abnormality of the clitoris	HP:0000056
Abnormality of the clit	HP:0000056
obsolete Clitoromegaly	HP:0000057
Abnormal labia morphology	HP:0000058
Abnormality of the labia	HP:0000058
Hypoplastic labia majora	HP:0000059
Underdeveloped vaginal lips	HP:0000059
Hypoplasia of labia majora	HP:0000059
Small labia majora	HP:0000059
Clitoral hypoplasia	HP:0000060
Small clitoris	HP:0000060
Hypoplastic clitoris	HP:0000060
Underdeveloped clit	HP:0000060
Ambiguous genitalia, female	HP:0000061
Atypical appearance of female genitals	HP:0000061
Ambiguous genitalia due to virilization	HP:0000061
Ambiguous genitalia	HP:0000062
Ambiguous external genitalia at birth	HP:0000062
Intersex genitalia	HP:0000062
Ambiguous external genitalia	HP:0000062
Fused labia minora	HP:0000063
Fused inner lips	HP:0000063
Hypoplastic labia minora	HP:0000064
Underdeveloped inner lips	HP:0000064
Labial hypertrophy	HP:0000065
Enlargement of the vaginal lips	HP:0000065
Enlargement of the labia	HP:0000065
Enlarged vaginal lips	HP:0000065
Labial hypoplasia	HP:0000066
Underdeveloped labia	HP:0000066
Hypoplastic labia	HP:0000066
Urethral atresia, female	HP:0000067
Urethral atresia	HP:0000068
Absent urethral opening	HP:0000068
Urethral opening absent	HP:0000068
Abnormality of the ureter	HP:0000069
Abnormality of the ureters	HP:0000069
Ureter issue	HP:0000069
Ureteral anomalies	HP:0000069
Ureterocele	HP:0000070
Ureteral stenosis	HP:0000071
Narrowing of the ureter	HP:0000071
Hydroureter	HP:0000072
Megaureter	HP:0000072
Ureteral dilatation	HP:0000072
Uroureter	HP:0000072
Swelling of ureter	HP:0000072
Ureteral duplication	HP:0000073
Double ureter	HP:0000073
Ureteropelvic junction obstruction	HP:0000074
Ureteropelvic junction stenosis	HP:0000074
Pelviureteric junction obstruction	HP:0000074
Renal duplication	HP:0000075
Extra kidney	HP:0000075
Supernumerary kidney	HP:0000075
Vesicoureteral reflux	HP:0000076
Ureteral reflux	HP:0000076
Vesicoureteric reflux	HP:0000076
Ureteric reflux	HP:0000076
Vesico-ureteral reflux	HP:0000076
Abnormality of the kidney	HP:0000077
Abnormality of the kidney	HP:0000077
Renal anomaly	HP:0000077
Abnormal kidney	HP:0000077
Renal anomalies	HP:0000077
Abnormality of the genital system	HP:0000078
Abnormality of the reproductive system	HP:0000078
Genital abnormalities	HP:0000078
Genital anomalies	HP:0000078
Genital defects	HP:0000078
Genital abnormality	HP:0000078
Abnormality of the urinary system	HP:0000079
Urinary tract anomalies	HP:0000079
Urinary tract abnormalities	HP:0000079
Urinary tract abnormality	HP:0000079
Abnormality of reproductive system physiology	HP:0000080
Abnormality of reproductive system physiology	HP:0000080
Abnormality of genital physiology	HP:0000080
Genital functional abnormality	HP:0000080
Duplicated collecting system	HP:0000081
Double collecting system	HP:0000081
Double urinary collecting systems on intravenous pyelography	HP:0000081
Duplex collecting system	HP:0000081
Duplicated renal collecting system	HP:0000081
Renal insufficiency	HP:0000083
Renal failure	HP:0000083
Renal failure in adulthood	HP:0000083
Horseshoe kidney	HP:0000085
Horseshoe kidneys	HP:0000085
Fused kidneys	HP:0000085
Horseshoe kidney	HP:0000085
Ectopic kidney	HP:0000086
Renal ectopia	HP:0000086
Abnormal kidney location	HP:0000086
Ectopic kidneys	HP:0000086
Displaced kidney	HP:0000086
Renal hypoplasia	HP:0000089
Hypoplastic kidneys	HP:0000089
Small kidneys	HP:0000089
Hypoplastic kidney	HP:0000089
Underdeveloped kidneys	HP:0000089
Nephronophthisis	HP:0000090
juvenile nephronophthisis	HP:0000090
Abnormal renal tubule morphology	HP:0000091
Abnormality of the renal tubule	HP:0000091
Morphologic abnormality of the renal tubules	HP:0000091
Renal tubular atrophy	HP:0000092
Renal tubular cell atrophy	HP:0000092
Tubular atrophy	HP:0000092
Proteinuria	HP:0000093
High urine protein levels	HP:0000093
Protein in urine	HP:0000093
Abnormal renal glomerulus morphology	HP:0000095
Morphologic abnormality of the renal glomerulus	HP:0000095
Abnormality of renal glomerulus morphology	HP:0000095
Glomerular sclerosis	HP:0000096
Glomerulosclerosis	HP:0000096
Renal glomerular fibrosis	HP:0000096
Focal segmental glomerulosclerosis	HP:0000097
focal glomerulosclerosis	HP:0000097
Focal and segmental glomerulosclerosis	HP:0000097
Focal and segmental glomerular sclerosis	HP:0000097
Tall stature	HP:0000098
Increased linear growth	HP:0000098
Increased body height	HP:0000098
Accelerated linear growth	HP:0000098
Tall stature	HP:0000098
Glomerulonephritis	HP:0000099
Glomerular nephritis	HP:0000099
Nephrotic syndrome	HP:0000100
Nephrosis	HP:0000100
Polyuria	HP:0000103
Increased urine output	HP:0000103
Renal agenesis	HP:0000104
Absent kidney	HP:0000104
Missing kidney	HP:0000104
Renal aplasia	HP:0000104
Enlarged kidney	HP:0000105
Renal enlargement	HP:0000105
Large kidneys	HP:0000105
Nephromegaly	HP:0000105
Large kidney	HP:0000105
Enlarged kidney	HP:0000105
Renal cyst	HP:0000107
Kidney cyst	HP:0000107
Cystic kidney disease	HP:0000107
Cystic kidneys	HP:0000107
Renal cysts	HP:0000107
Renal corticomedullary cysts	HP:0000108
Corticomedullary renal cysts	HP:0000108
Renal corticomedullary cystic disease	HP:0000108
Renal dysplasia	HP:0000110
Renal adysplasia	HP:0000110
Dysplastic kidneys	HP:0000110
Renal juxtaglomerular cell hypertrophy/hyperplasia	HP:0000111
Nephropathy	HP:0000112
Kidney disease	HP:0000112
Kidney damage	HP:0000112
Polycystic kidney dysplasia	HP:0000113
Polycystic kidneys	HP:0000113
Enlarged polycystic kidneys	HP:0000113
Polycystic kidney disease	HP:0000113
Proximal tubulopathy	HP:0000114
Selective proximal tubular damage	HP:0000114
Proximal renal tubule defect	HP:0000114
Proximal renal tubulopathy	HP:0000114
Proximal tubular defect	HP:0000114
Proximal tubule dysfunction	HP:0000114
Renal phosphate wasting	HP:0000117
Decreased renal tubular phosphate reabsorption	HP:0000117
Tubular phosphate reabsorption low	HP:0000117
Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate	HP:0000117
Phenotypic abnormality	HP:0000118
Organ abnormality	HP:0000118
Abnormality of the genitourinary system	HP:0000119
Genitourinary tract anomalies	HP:0000119
Urogenital anomalies	HP:0000119
Abnormality of the GU system	HP:0000119
Genitourinary dysplasia	HP:0000119
Genitourinary abnormality	HP:0000119
Urogenital abnormalities	HP:0000119
Genitourinary tract malformation	HP:0000119
Genitourinary disease	HP:0000119
Nephrocalcinosis	HP:0000121
Too much calcium deposited in kidneys	HP:0000121
Increased calcium level in kidney	HP:0000121
Unilateral renal agenesis	HP:0000122
Absent kidney on one side	HP:0000122
Missing one kidney	HP:0000122
Unilateral kidney agenesis	HP:0000122
Single kidney	HP:0000122
Nephritis	HP:0000123
Kidney inflammation	HP:0000123
Renal tubular dysfunction	HP:0000124
Abnormal function of filtrating structures in kidney	HP:0000124
Renal tubular disease	HP:0000124
Renal tubular defect	HP:0000124
Pelvic kidney	HP:0000125
Sacral kidney	HP:0000125
Hydronephrosis	HP:0000126
Renal salt wasting	HP:0000127
Renal salt-wasting	HP:0000127
Salt wasting	HP:0000127
Loss of salt in urine	HP:0000127
Salt-wasting	HP:0000127
Renal potassium wasting	HP:0000128
Renal K wasting	HP:0000128
Abnormality of the uterus	HP:0000130
Uterine malformations	HP:0000130
Abnormality of the uterus	HP:0000130
Uterine abnormalities	HP:0000130
Uterine leiomyoma	HP:0000131
Uterine fibroid	HP:0000131
Benign uterine leiomyomas	HP:0000131
Menorrhagia	HP:0000132
Abnormally heavy bleeding during menstruation	HP:0000132
Hypermenorrhea	HP:0000132
Gonadal dysgenesis	HP:0000133
Mixed gonadal dysgenesis	HP:0000133
Pure gonadal dysgenesis	HP:0000133
Female hypogonadism	HP:0000134
Hypogonadism, female	HP:0000134
Hypogonadism	HP:0000135
Decreased activity of gonads	HP:0000135
Bifid uterus	HP:0000136
Abnormality of the ovary	HP:0000137
Abnormality of the ovary	HP:0000137
Abnormality of the ovaries	HP:0000137
Ovarian disease	HP:0000137
Ovarian cyst	HP:0000138
Cystic abnormalities of the ovaries	HP:0000138
Ovarian cyst	HP:0000138
Ovarian cystic abnormality	HP:0000138
Cystic ovaries	HP:0000138
Uterine prolapse	HP:0000139
Sagging uterus	HP:0000139
Abnormality of the menstrual cycle	HP:0000140
Menstrual abnormalities	HP:0000140
Abnormality of the menstrual cycle	HP:0000140
Amenorrhea	HP:0000141
Abnormal absence of menstruation	HP:0000141
Abnormal vagina morphology	HP:0000142
Vaginal malformation	HP:0000142
Rectovaginal fistula	HP:0000143
Abnormal connection between rectum and vagina	HP:0000143
Decreased fertility	HP:0000144
Abnormal fertility	HP:0000144
Decreased fertility	HP:0000144
Transverse vaginal septum	HP:0000145
Transverse vaginal membrane	HP:0000145
Polycystic ovaries	HP:0000147
Polycystic ovary	HP:0000147
Sclerocystic ovaries	HP:0000147
Polycystic ovary disease	HP:0000147
Vaginal atresia	HP:0000148
Abnormally closed or absent vagina	HP:0000148
Ovarian gonadoblastoma	HP:0000149
Gonadoblastoma, female	HP:0000149
Gonadoblastoma	HP:0000150
Aplasia of the uterus	HP:0000151
uterus absent	HP:0000151
Absent uterus	HP:0000151
Abnormality of head or neck	HP:0000152
Abnormality of head or neck	HP:0000152
Head and neck abnormality	HP:0000152
Abnormality of the mouth	HP:0000153
Abnormality of the mouth	HP:0000153
Abnormal mouth	HP:0000153
Wide mouth	HP:0000154
Macrostomia	HP:0000154
Large mouth	HP:0000154
Large oral aperture	HP:0000154
Wide mouth	HP:0000154
Broad mouth	HP:0000154
Oral ulcer	HP:0000155
Mouth ulcer	HP:0000155
Mouth sore	HP:0000155
Oral mucosal ulceration	HP:0000155
Abnormality of the tongue	HP:0000157
Glossal abnormality	HP:0000157
Lingual abnormality	HP:0000157
Tongue abnormality	HP:0000157
Abnormal tongue	HP:0000157
Abnormality of the tongue	HP:0000157
Macroglossia	HP:0000158
Hyperplasia of the tongue	HP:0000158
Hypertrophy of the tongue	HP:0000158
Tongue hypertrophy	HP:0000158
Glossal hypertrophy	HP:0000158
Large tongue	HP:0000158
Lingual hypertrophy	HP:0000158
Abnormally large tongue	HP:0000158
Lingual hyperplasia	HP:0000158
Increased size of tongue	HP:0000158
Abnormal lip morphology	HP:0000159
Anomaly of lip	HP:0000159
Abnormality of the lip	HP:0000159
Deformity of lip	HP:0000159
Malformation of lip	HP:0000159
Lip abnormality	HP:0000159
Abnormal lip	HP:0000159
Narrow mouth	HP:0000160
Small oral aperture	HP:0000160
Microstomia	HP:0000160
Small mouth	HP:0000160
Narrow mouth	HP:0000160
Median cleft lip	HP:0000161
Midline cleft lip	HP:0000161
Central cleft upper lip	HP:0000161
Glossoptosis	HP:0000162
Lingual retraction	HP:0000162
Retraction of the tongue	HP:0000162
Posterior displacement of the tongue	HP:0000162
Abnormal oral cavity morphology	HP:0000163
Abnormality of the oral cavity	HP:0000163
Abnormality of the dentition	HP:0000164
Dental anomalies	HP:0000164
Dental problems	HP:0000164
Tooth abnormalities	HP:0000164
Abnormal dentition	HP:0000164
Dental problem	HP:0000164
Dental abnormalities	HP:0000164
Abnormality of the teeth	HP:0000164
Dental abnormality	HP:0000164
Abnormal teeth	HP:0000164
Severe periodontitis	HP:0000166
Severe pyorrhea	HP:0000166
Severe gum disease	HP:0000166
Severe periodontal disease	HP:0000166
Abnormality of the gingiva	HP:0000168
Abnormality of the gums	HP:0000168
Gingival abnormality	HP:0000168
Gingival fibromatosis	HP:0000169
Hereditary gingival fibromatosis	HP:0000169
Gingival fibrous nodules	HP:0000169
Gingival fibroma	HP:0000169
Idiopathic gingival hyperplasia	HP:0000169
Microglossia	HP:0000171
Decreased size of tongue	HP:0000171
Hypoplastic tongue	HP:0000171
Lingual hypoplasia	HP:0000171
Rudimentary tongue	HP:0000171
Abnormally small tongue	HP:0000171
Hypoglossia	HP:0000171
Underdevelopment of the tongue	HP:0000171
Small tongue	HP:0000171
Hypoplasia of the tongue	HP:0000171
Abnormality of the uvula	HP:0000172
Abnormality of palatine uvula	HP:0000172
Abnormality of the uvula	HP:0000172
Abnormal palate morphology	HP:0000174
Abnormality of the palate	HP:0000174
Palatal anomaly	HP:0000174
Palate abnormality	HP:0000174
Abnormality of the roof of the mouth	HP:0000174
Cleft palate	HP:0000175
Cleft of palate	HP:0000175
Cleft hard and soft palate	HP:0000175
Cleft palate	HP:0000175
Cleft of hard and soft palate	HP:0000175
Cleft secondary palate	HP:0000175
Cleft roof of mouth	HP:0000175
Palatoschisis	HP:0000175
Uranostaphyloschisis	HP:0000175
Submucous cleft hard palate	HP:0000176
Partial thickness cleft hard palate	HP:0000176
Submucous clefting	HP:0000176
Submucosal cleft palate	HP:0000176
Abnormality of upper lip	HP:0000177
Abnormality of upper lip	HP:0000177
Deformity of the upper lip	HP:0000177
Anomaly of the upper lip	HP:0000177
Malformation of the upper lip	HP:0000177
Abnormality of lower lip	HP:0000178
Anomaly of the lower lip	HP:0000178
Deformity of the lower lip	HP:0000178
Abnormality of lower lip	HP:0000178
Malformation of the lower lip	HP:0000178
Thick lower lip vermilion	HP:0000179
Thick red part of the lower lip	HP:0000179
Thick vermilion border of lower lip	HP:0000179
Thick lower lip	HP:0000179
Full lower lip vermilion	HP:0000179
Prominent lower lip	HP:0000179
Increased volume of lower lip	HP:0000179
Full lower lip	HP:0000179
Plump lower lip	HP:0000179
Increased height of lower lip vermilion	HP:0000179
Prominent lower lip vermilion	HP:0000179
Increased volume of lower lip vermilion	HP:0000179
Lobulated tongue	HP:0000180
Lobulate tongue	HP:0000180
Lingual lobules	HP:0000180
Bumpy tongue	HP:0000180
Movement abnormality of the tongue	HP:0000182
Abnormality of lingual movement	HP:0000182
Movement abnormality of the tongue	HP:0000182
Difficulty in tongue movements	HP:0000183
Difficulty in tongue movements	HP:0000183
Hypokinesia of the tongue	HP:0000183
Lingual hypokinesia	HP:0000183
Difficulty in lingual movements	HP:0000183
Cleft soft palate	HP:0000185
Cleft velum	HP:0000185
Cleft muscular palate	HP:0000185
Cleft of soft palate	HP:0000185
Broad alveolar ridges	HP:0000187
Broad alveolar processes of jaw	HP:0000187
Widened alveolar ridges	HP:0000187
Wide alveolar processes of jaw	HP:0000187
Wide alveolar margins	HP:0000187
Wide gum ridges	HP:0000187
Broad alveolar margins	HP:0000187
Short upper lip	HP:0000188
Decreased upper labial height	HP:0000188
Decreased height of upper lip	HP:0000188
Shortening of upper lip	HP:0000188
Decreased vertical length of upper lip	HP:0000188
Vertical deficiency of upper lip	HP:0000188
Decreased upper labial length	HP:0000188
Short upper lip	HP:0000188
Narrow palate	HP:0000189
Narrow palate	HP:0000189
Decreased palatal width	HP:0000189
Decreased transverse dimension of palate	HP:0000189
Narrow roof of mouth	HP:0000189
Abnormal oral frenulum morphology	HP:0000190
Abnormality of oral frenum	HP:0000190
Abnormality of lingual frenum	HP:0000190
Abnormality of frenum of tongue	HP:0000190
Abnormality of oral frenula	HP:0000190
Accessory oral frenulum	HP:0000191
Accessory oral frenum	HP:0000191
Multiple oral frenula	HP:0000191
Extra oral frenum	HP:0000191
Supernumerary oral frenulum	HP:0000191
Extra oral frenulum	HP:0000191
Supernumerary oral frenum	HP:0000191
Bifid uvula	HP:0000193
Split uvula	HP:0000193
Cleft uvula	HP:0000193
Bifid palatine uvula	HP:0000193
Cleft of uvula	HP:0000193
Forked uvula	HP:0000193
Uvula bifida	HP:0000193
Open mouth	HP:0000194
Gaped jawed appearance	HP:0000194
Slack jawed appearance	HP:0000194
Gaped mouthed appearance	HP:0000194
Open mouth appearance	HP:0000194
Open mouth	HP:0000194
Lower lip pit	HP:0000196
Abnormal parotid gland morphology	HP:0000197
Abnormality of parotid gland	HP:0000197
Anomaly of the parotid gland	HP:0000197
Absence of Stensen duct	HP:0000198
Failure of development of stensen duct	HP:0000198
Absent stensen duct	HP:0000198
Missing parotid duct	HP:0000198
Agenesis of parotid duct	HP:0000198
Missing stensen duct	HP:0000198
Failure of development of parotid duct	HP:0000198
Absence of parotid duct	HP:0000198
Agenesis of stensen duct	HP:0000198
Tongue nodules	HP:0000199
Lingual nodules	HP:0000199
Short lingual frenulum	HP:0000200
Deficiency of lingual frenulum	HP:0000200
Short tongue frenulum	HP:0000200
Short tongue frenum	HP:0000200
Hypoplasia of lingual frenulum	HP:0000200
Tight lingual frenulum	HP:0000200
Hypoplasia of tongue frenum	HP:0000200
Short lingual frenum	HP:0000200
Hypoplasia of lingual frenum	HP:0000200
Hypoplasia of tongue frenulum	HP:0000200
Pierre-Robin sequence	HP:0000201
Robin sequence	HP:0000201
Pierre-robin malformation	HP:0000201
Pierre-robin deformity	HP:0000201
Pierre-robin anomaly	HP:0000201
Pierre Robin sequence	HP:0000201
Oral cleft	HP:0000202
Cleft of the mouth	HP:0000202
Cleft lip, cleft palate	HP:0000202
Oral clefting	HP:0000202
Cleft lip/palate	HP:0000202
Cleft upper lip	HP:0000204
Cheiloschisis of upper lip	HP:0000204
Cleft upper lip	HP:0000204
Cleft of upper lip	HP:0000204
Harelip	HP:0000204
Pursed lips	HP:0000205
Pursed lips	HP:0000205
Tightly closed lips	HP:0000205
Glossitis	HP:0000206
Smooth swollen tongue	HP:0000206
Inflammation of the tongue	HP:0000206
Lingual inflammation	HP:0000206
Triangular mouth	HP:0000207
Triangular mouth	HP:0000207
Triangular shaped oral aperture	HP:0000207
Triangular shaped mouth	HP:0000207
Trismus	HP:0000211
Limited jaw opening	HP:0000211
Decrease in mandibular opening	HP:0000211
Limited jaw mobility	HP:0000211
Decrease in jaw opening	HP:0000211
Limited jaw movement	HP:0000211
Decrease in mandibular mobility	HP:0000211
Limited mandibular mobility	HP:0000211
Decrease in jaw movement	HP:0000211
Limited mandibular opening	HP:0000211
Decrease in jaw mobility	HP:0000211
Limited mouth opening	HP:0000211
Lockjaw	HP:0000211
Pain of muscles of mastication	HP:0000211
Decrease in mandibular movement	HP:0000211
Gingival overgrowth	HP:0000212
Oral soft tissue hyperplasia	HP:0000212
Gum enlargement	HP:0000212
Gum hypertrophy	HP:0000212
Gingival hyperplasia	HP:0000212
Gingival enlargement	HP:0000212
Hypertrophic gingivitis	HP:0000212
Lip telangiectasia	HP:0000214
Spider veins of the lip	HP:0000214
Angioectasias of the lip	HP:0000214
Lip telangiectases	HP:0000214
Labial angioectasias	HP:0000214
Labial telangiectasia	HP:0000214
Telangiectasia of the lips	HP:0000214
Thick upper lip vermilion	HP:0000215
Thick upper lip	HP:0000215
Full upper lip	HP:0000215
Increased volume of upper lip vermilion	HP:0000215
Increased height of upper lip vermilion	HP:0000215
Prominent upper lip	HP:0000215
Plump upper lip	HP:0000215
Thick vermilion border of upper lip	HP:0000215
Full upper lip vermilion	HP:0000215
Increased volume of upper lip	HP:0000215
Thick red part of the upper lip	HP:0000215
Prominent upper lip vermilion	HP:0000215
Broad secondary alveolar ridge	HP:0000216
Secondary alveolar ridges	HP:0000216
Xerostomia	HP:0000217
Dry mouth syndrome	HP:0000217
Dry mouth	HP:0000217
Reduced salivation	HP:0000217
Decreased salivary flow	HP:0000217
High palate	HP:0000218
Elevated palate	HP:0000218
High palate	HP:0000218
Increased palatal height	HP:0000218
Palate high-arched	HP:0000218
High, arched palate	HP:0000218
High-arched palate	HP:0000218
High arched palate	HP:0000218
Ogival palate	HP:0000218
Palate, high-arched	HP:0000218
Thin upper lip vermilion	HP:0000219
Decreased height of upper lip vermilion	HP:0000219
Decreased volume of upper lip vermilion	HP:0000219
Decreased volume of upper lip	HP:0000219
Thin red part of the upper lip	HP:0000219
Thin upper lip	HP:0000219
Thin upper lips	HP:0000219
Thin vermilion border of upper lip	HP:0000219
Velopharyngeal insufficiency	HP:0000220
Velopharyngeal incompetence	HP:0000220
Velopharyngeal dysfunction	HP:0000220
Furrowed tongue	HP:0000221
Scrotal tongue	HP:0000221
Lingual furrow	HP:0000221
Prominent tongue grooves	HP:0000221
Plicated tongue	HP:0000221
Fissured tongue	HP:0000221
Grooved tongue	HP:0000221
Lingue plicata	HP:0000221
Gingival hyperkeratosis	HP:0000222
Hyperkeratosis, gingival	HP:0000222
Abnormality of taste sensation	HP:0000223
Abnormality of taste sensation	HP:0000223
Hypogeusia	HP:0000224
Decreased taste	HP:0000224
Decreased taste sensation	HP:0000224
Gingival bleeding	HP:0000225
Gingivorrhagia	HP:0000225
Bleeding gums	HP:0000225
Gingival hemorrhage	HP:0000225
Tongue telangiectasia	HP:0000227
Angioectasias of the tongue	HP:0000227
Spider veins of the tongue	HP:0000227
Lingual angioectasias	HP:0000227
Lingual telangiectasia	HP:0000227
Oral cavity telangiectasia	HP:0000228
Spider veins of the mouth	HP:0000228
Spider veins of the oral cavity	HP:0000228
Angioectasias of the mouth	HP:0000228
Angioectasias of the oral cavity	HP:0000228
Oral cavity teleangiectasia	HP:0000228
Gingivitis	HP:0000230
Gingival inflammation	HP:0000230
Inflamed gums	HP:0000230
Red and swollen gums	HP:0000230
Everted lower lip vermilion	HP:0000232
Everted lower lip	HP:0000232
Outward turned lower lip	HP:0000232
Everted prominent lower lip	HP:0000232
Protruding lower lip	HP:0000232
Eclabium of lower lip	HP:0000232
Drooping lower lip	HP:0000232
Thin vermilion border	HP:0000233
Thin lips	HP:0000233
Thin vermilion borders	HP:0000233
Decreased volume of lip vermillion	HP:0000233
Decreased volume of lip	HP:0000233
Thin vermillion	HP:0000233
Abnormality of the head	HP:0000234
Abnormality of the head	HP:0000234
Head abnormality	HP:0000234
Abnormal head	HP:0000234
Abnormality of the fontanelles or cranial sutures	HP:0000235
Abnormality of the anterior fontanelle	HP:0000236
Abnormality of the forehead soft spot	HP:0000236
Small anterior fontanelle	HP:0000237
Small anterior fontanel	HP:0000237
Small forehead fontanel	HP:0000237
Hydrocephalus	HP:0000238
Nonsyndromal hydrocephalus	HP:0000238
Too much cerebrospinal fluid in the brain	HP:0000238
Hydrocephaly	HP:0000238
Large fontanelles	HP:0000239
Enlarged fontanelles	HP:0000239
Large fontanelle	HP:0000239
Wide bregma sutures	HP:0000239
Large fontanels	HP:0000239
Large, late-closing fontanelle	HP:0000239
Persistent wide fontanel	HP:0000239
Large bregma sutures	HP:0000239
Large fontanel	HP:0000239
Wide fontanelles	HP:0000239
Abnormality of skull size	HP:0000240
Abnormality of skull size	HP:0000240
Abnormality of cranium size	HP:0000240
Abnormality of head size	HP:0000240
Parietal bossing	HP:0000242
Bossing of parietal bone	HP:0000242
Biparietal bossing	HP:0000242
Trigonocephaly	HP:0000243
Wedge shaped head	HP:0000243
Wedge shaped skull	HP:0000243
Wedge shaped cranium	HP:0000243
Triangular cranium shape	HP:0000243
Triangular head shape	HP:0000243
Triangular skull shape	HP:0000243
Brachyturricephaly	HP:0000244
Brachy-turricephaly	HP:0000244
Turribrachycephaly	HP:0000244
High, prominent forehead	HP:0000244
Abnormal paranasal sinus morphology	HP:0000245
Abnormality of the sinuses	HP:0000245
Abnormality of the sinuses of the head	HP:0000245
Abnormality of the paranasal sinuses	HP:0000245
Sinusitis	HP:0000246
Sinus inflammation	HP:0000246
Sinus disease	HP:0000246
Sinus infection	HP:0000246
Brachycephaly	HP:0000248
Broad skull shape	HP:0000248
Wide head shape	HP:0000248
Broad cranium shape	HP:0000248
Short and broad skull	HP:0000248
Broad head shape	HP:0000248
Wide cranium shape	HP:0000248
Wide skull shape	HP:0000248
Dense calvaria	HP:0000250
Dense skull cap	HP:0000250
Microcephaly	HP:0000252
Abnormally small skull	HP:0000252
Decreased size of cranium	HP:0000252
Reduced head circumference	HP:0000252
Decreased circumference of cranium	HP:0000252
small cranium	HP:0000252
Abnormally small cranium	HP:0000252
Small head circumference	HP:0000252
Decreased size of head	HP:0000252
