Tous	HP:0000001
Atrésie du canal auditif externe	HP:0000413
atrésie du CAE	HP:0000413
nez bulbeux	HP:0000414
Anomalie des choanes	HP:0000415
atrésie des choanes ou sténose	HP:0000416
nez gracile	HP:0000417
arête nasale étroite	HP:0000418
anomalie de la cloison nasale	HP:0000419
Cloison nasale courte	HP:0000420
septum nasal court	HP:0000420
Epistaxis	HP:0000421
saignement du nez	HP:0000421
épistaxis	HP:0000421
Anomalie de l'arête nasale	HP:0000422
anomalie de la racine du nez	HP:0000423
Racine du nez large	HP:0000424
arête nasale aplatie	HP:0000425
arête nasale proéminente	HP:0000426
nez retroussé	HP:0000427
arête nasale basse	HP:0000428
anomalie de l'aile du nez	HP:0000429
Ailes du nez minces/hypoplasiques	HP:0000430
arête nasale large	HP:0000431
Racine du nez proéminente	HP:0000432
anomalie de la muqueuse nasale	HP:0000433
télangiectasies de la muqueuse nasale	HP:0000434
Anomalie de l'apex du nez	HP:0000436
Apex du nez plat	HP:0000437
nez large et court	HP:0000438
arête nasale large, plate	HP:0000439
nez retroussé et court	HP:0000441
arête nasale proéminente	HP:0000442
apex du nez bulbeux	HP:0000443
Nez en bec d'oiseau	HP:0000444
nez large	HP:0000445
arête nasale étroite	HP:0000446
large racine du nez	HP:0000446
nez en forme de poire	HP:0000447
nez proéminent	HP:0000448
petit nez pointu	HP:0000450
Apex du nez triangulaire	HP:0000451
sténose des choanes	HP:0000452
Atrésie choanale	HP:0000453
atrésie des choanes	HP:0000453
narnes évasées	HP:0000454
Large apex du nez	HP:0000455
Apex du nez bifide	HP:0000456
nez plat	HP:0000457
Anosmie	HP:0000458
perte de l'odorat	HP:0000458
nez étroit	HP:0000460
grand nez	HP:0000461
polype nasal	HP:0000462
Narines antéversées	HP:0000463
Anomalie du cou	HP:0000464
Cou palmé court	HP:0000465
cou palmé	HP:0000465
pterygium colli	HP:0000465
Fabilesse des muscles du cou	HP:0000467
Tissu adipeux normal ou augmenté autour du cou	HP:0000468
Cou court	HP:0000470
angiodysplasie gastro-intestinale	HP:0000471
Cou long	HP:0000472
torticolis spasmodique	HP:0000473
Dystonie cervicale	HP:0000473
Excès de peau dans le cou	HP:0000474
cou large	HP:0000475
Hygroma kystique	HP:0000476
hygroma cervical	HP:0000476
Hygrome kystique	HP:0000476
lymphangiome kystique	HP:0000476
hygrome kystique du cou	HP:0000476
plis cutanés de la nuque	HP:0000477
anomalie oculaire	HP:0000478
affection oculaire congénitale	HP:0000478
Anomalie de la rétine	HP:0000479
colobome rétinal	HP:0000480
anomalie de la cornée	HP:0000481
anomalies cornéennes	HP:0000481
microcornée	HP:0000482
Astigmatisme	HP:0000483
astigmatisme hyperopique	HP:0000484
Mégalocornée	HP:0000485
Strabisme	HP:0000486
strabisme congénital	HP:0000487
Rétinopathie	HP:0000488
anomalie de la localisation ou de la taille de l'oeil	HP:0000489
yeux creux	HP:0000490
enophtalmie	HP:0000490
Kératite	HP:0000491
Anomalie de la paupière	HP:0000492
anomalie palpébrale	HP:0000492
Anomalie de la fovea	HP:0000493
Anomalie fovéale	HP:0000493
inclinaison vers la bas des fentes palpébrales	HP:0000494
ulceration corneenne	HP:0000495
mouvements oculaires anormaux	HP:0000496
anomalie des mouvements oculaires	HP:0000496
mouvements anormaux de l'oeil	HP:0000496
rétraction du globe et déviation en abduction	HP:0000497
Blépharite	HP:0000498
Anomalie des cils	HP:0000499
cils anormalement longs et frisés	HP:0000500
Glaucome	HP:0000501
anomalie de la conjonctive	HP:0000502
tortuosité des vaisseaux conjonctivaux	HP:0000503
anomalie de la vision	HP:0000504
Handicap visuel	HP:0000505
acuité visuelle réduite	HP:0000505
Télécanthus	HP:0000506
Ptosis	HP:0000508
blépharoptose	HP:0000508
chute des paupières	HP:0000508
conjonctivite	HP:0000509
Rétinite pigmentaire	HP:0000510
électrorétinogramme anormal	HP:0000512
ERG anormal	HP:0000512
électrorétinographie anormale	HP:0000512
mouvements oculaires saccadés lents	HP:0000514
opacité cornéenne	HP:0000515
opacite corneenne	HP:0000515
anomalie du cristallin	HP:0000517
opacité du cristallin	HP:0000518
opacités du cristallin	HP:0000518
cataracte	HP:0000518
cataracte congénitale	HP:0000519
cataractes bilatérales	HP:0000519
Proptose	HP:0000520
Exophtalmie	HP:0000520
anomalie des glandes lacrymales ou de la production de larmes	HP:0000521
Alacrimie	HP:0000522
cataracte sous-capsulaire	HP:0000523
Télangiectasie de la conjonctive	HP:0000524
Télangiectasies de la conjonctive	HP:0000524
Anomalie de l'iris	HP:0000525
Aniridie	HP:0000526
absence d'iris	HP:0000526
cils anormalement longs	HP:0000527
Anophtalmie	HP:0000528
perte progressive de la vision	HP:0000529
cristaux cornéens	HP:0000531
Anomalie choriorétinienne	HP:0000532
Atrophie choriorétinienne	HP:0000533
atrophie chorio-rétinienne	HP:0000533
anomalie du sourcil	HP:0000534
sourcils clairsemés	HP:0000535
Yeux proéminents	HP:0000536
épicanthus inversus	HP:0000537
pseudo-oedème papillaire	HP:0000538
Anomalie de la réfraction	HP:0000539
Hypermétropie	HP:0000540
hypermétropie/hyperopie	HP:0000540
hyperopie	HP:0000540
Décollement de la rétine	HP:0000541
décollement de la rétine/pli rétinien maculaire	HP:0000541
adduction oculaire altérée	HP:0000542
disques optiques pâles	HP:0000543
ophtalmoplégie externe	HP:0000544
Myopie	HP:0000545
dégénérescence rétinienne	HP:0000546
dégénérescence de la rétine	HP:0000546
dégénérescence tapétorétinienne	HP:0000547
Dystrophie des cônes et des bâtonnets	HP:0000548
mouvement oculaire conjugué anormal	HP:0000549
Electrorétinogramme aboli	HP:0000550
ERG  aboli	HP:0000550
ERG absent	HP:0000550
Vision des couleurs anormale	HP:0000551
Dyschromatopsie bleu-jaune	HP:0000552
Anomalié de l'uvée	HP:0000553
Uvéite	HP:0000554
leucocorie	HP:0000555
dystrophie rétinienne	HP:0000556
Buphtalmie	HP:0000557
anomalie de Rieger	HP:0000558
cicatrice de la cornée	HP:0000559
perte progressive de la vision (4 à 10 ans)	HP:0000560
Cils absents	HP:0000561
absence de cils	HP:0000561
Kératocône	HP:0000563
Atrésie du canal lacrymal	HP:0000564
ésotropie	HP:0000565
Colobome choriorétinien	HP:0000567
microphtalmie	HP:0000568
anomalie des mouvements oculaires saccadés	HP:0000570
défaut des mouvements oculaires saccadés	HP:0000570
saccades hypométriques	HP:0000571
cécité	HP:0000572
Hémorragie rétinienne	HP:0000573
Sourcils épais	HP:0000574
sourcils fournis	HP:0000574
scotome	HP:0000575
scotome centrocaecal	HP:0000576
Exotropie	HP:0000577
obstruction du conduit lacrymal	HP:0000579
Rétinite pigmentaire	HP:0000580
Blépharophimosis	HP:0000581
rétrécissement de la fente palpébrale	HP:0000581
inclinaison vers le haut des fentes palpébrales	HP:0000582
Kératopathie en bandelettes	HP:0000585
orbites peu profondes	HP:0000586
anomalie du nerf optique	HP:0000587
Colobome du nerf optique	HP:0000588
colobome	HP:0000589
Colobome oculaire	HP:0000589
ophtalmoplégie externe progressive	HP:0000590
anomalie de la sclère	HP:0000591
Sclérotiques bleues/bleutées	HP:0000592
sclérotique bleue	HP:0000592
Anomalie de la chambre antérieure de l'oeil	HP:0000593
Chambre antérieure peu profonde	HP:0000594
cécité corticale	HP:0000595
paralysie oculomotrice	HP:0000597
Anomalie de l'oreille	HP:0000598
anomalie de l'implantation frontale	HP:0000599
Anomalie du pharynx	HP:0000600
Hypotélorisme	HP:0000601
ophtalmoplégie	HP:0000602
paralysie oculomotrice	HP:0000602
scotome central	HP:0000603
saccades altérées	HP:0000604
Anomalie de la région orbitaire	HP:0000606
Rides périorbitales	HP:0000607
dégénérescence maculaire	HP:0000608
hypoplasie du nerf optique	HP:0000609
anomalie de la choroïde	HP:0000610
colobome choroïdien	HP:0000611
colobome de l'iris	HP:0000612
Colobome irien	HP:0000612
photophobie	HP:0000613
anomalie du système nasolacrymal	HP:0000614
anomalie de la pupille	HP:0000615
myosis	HP:0000616
anomalie des mouvements de poursuites oculaires	HP:0000617
anomalie de la poursuite oculaire	HP:0000617
Cécité	HP:0000618
convergence  altérée	HP:0000619
dacryocystite	HP:0000620
entropion	HP:0000621
Vision trouble	HP:0000622
vision brouillée	HP:0000622
ophtalmoplégie supranucléaire	HP:0000623
Plis épicanthaux, légers	HP:0000624
colobome palpébral	HP:0000625
Colobome de la paupière	HP:0000625
colobome des paupières	HP:0000625
Embryotoxon postérieur	HP:0000627
mouvements désordonnés oculaires anormaux	HP:0000628
Sensation de tension périorbitale	HP:0000629
Anormalité des artères rétiniennes	HP:0000630
Tortuosité des artères de la rétine	HP:0000631
Anomalie de la sécrétion lacrymale	HP:0000632
Anomalie de la sécrétion de larme	HP:0000632
Diminution de la sécrétion lacrymale	HP:0000633
diminution de la sécrétion de larmes	HP:0000633
abduction oculaire altérée	HP:0000634
Iris bleus	HP:0000635
yeux bleus	HP:0000635
Colobome de la paupière supérieure	HP:0000636
fente palpébrale anormalement longue	HP:0000637
nystagmus	HP:0000639
nystagmus/secousses oculaires	HP:0000639
secousses oculaires	HP:0000639
saccades dissymétriques	HP:0000641
dyschromatopsie rouge-vert	HP:0000642
Blépharospasme	HP:0000643
Blépharospasme essentiel bénin	HP:0000643
Amblyopie	HP:0000646
Sclérocornée	HP:0000647
atrophie du nerf optique	HP:0000648
Atrophie optique génétique	HP:0000648
atrophie optique	HP:0000648
potentiels évoqués visuels anormaux	HP:0000649
potentiel évoqué visuel anormal	HP:0000649
diplopie	HP:0000651
dédoublement de la vision	HP:0000651
Colobome de la paupière inférieure	HP:0000652
cils clairsemés	HP:0000653
amplitude diminuée à l'électrorétinogramme (ERG)	HP:0000654
Dégénérescence vitréorétinienne	HP:0000655
ectropion	HP:0000656
Apraxie oculomotrice	HP:0000657
Apraxie ouverture des paupières	HP:0000658
Anomalie de Peters	HP:0000659
lipémie rétinienne	HP:0000660
fissure palpébrale de plus en plus étroit en adduction	HP:0000661
Cécité nocturne	HP:0000662
nyctalopie	HP:0000662
énophtalmie	HP:0000663
Synophris	HP:0000664
synophrys	HP:0000664
luxation du cristallin	HP:0000665
nystagmus horizontal	HP:0000666
ophtalmomalacie	HP:0000667
phthisis bulbaire	HP:0000667
hypodontie	HP:0000668
carie dentaire	HP:0000670
carie	HP:0000670
caries dentaires	HP:0000670
Anodontie	HP:0000674
macrodontie de l'incisive centrale maxillaire permanente	HP:0000675
Anomalie de l'incisive	HP:0000676
Oligodontie	HP:0000677
hypodontie	HP:0000677
chevauchement des dents	HP:0000678
Taurodontie/taurodontisme	HP:0000679
taurodontisme	HP:0000679
apparition retardée des dents de lait	HP:0000680
anomalie de l'émail dentaire	HP:0000682
émail dentaire grisâtre	HP:0000683
éruption tardive d'une dent	HP:0000684
hypoplasie dentaire	HP:0000685
Dents largement espacées	HP:0000687
Mauvais articulé dentaire/inversion de l'articulé dentaire/malocclusion	HP:0000689
défaut d'occlusion dentaire	HP:0000689
Mauvais articulé dentaire	HP:0000689
inversion de l'articulé dentaire	HP:0000689
Agénésie d'une incisive latérale maxillaire	HP:0000690
microdontie	HP:0000691
mauvais alignement des dents	HP:0000692
malposition des dents	HP:0000692
dent en coquille	HP:0000694
dent natale	HP:0000695
dent néonatale	HP:0000695
apparition des dents permanentes retardée	HP:0000696
Dents côniques	HP:0000698
Diastéme	HP:0000699
Dentinogenèse imparfaite	HP:0000703
dentinogenesis imperfecta	HP:0000703
Périodontite	HP:0000704
parodontite	HP:0000704
Amélogenèse imparfaite	HP:0000705
dent incluse	HP:0000706
Anomalie du système nerveux	HP:0000707
